flight_id,airline_standard,source,destination,route,departure_time,arrival_time,duration_minutes,overnight_flight,time_anomaly,flight_id_conflict,flight_key
SJ010,SpiceJet,CCU,MAA,CCU → MAA,2026-04-20 23:38:41.701,2026-04-21 02:32:41.701,174.0,True,False,False,FL0001
AI155,Air India,BOM,CCU,BOM → CCU,2026-04-20 23:35:41.703,2026-04-21 01:23:41.703,108.0,True,False,False,FL0002
UK094,Vistara,BOM,CCU,BOM → CCU,2026-04-20 23:26:41.702,2026-04-21 01:11:41.702,105.0,True,False,False,FL0003
AI245,Air India,BOM,CCU,BOM → CCU,2026-04-20 23:07:41.704,2026-04-21 01:43:41.704,156.0,True,False,False,FL0004
AI192,Air India,MAA,BOM,MAA → BOM,2026-04-20 23:05:41.703,2026-04-21 04:04:41.703,299.0,True,False,False,FL0005
SJ158,SpiceJet,DEL,HYD,DEL → HYD,2026-04-20 23:05:41.703,2026-04-21 01:24:41.703,139.0,True,False,False,FL0006
6F196,IndiGo,CCU,MAA,CCU → MAA,2026-04-20 23:04:41.703,2026-04-21 00:47:41.703,103.0,True,False,False,FL0007
AI080,Air India,BOM,HYD,BOM → HYD,2026-04-20 23:03:41.702,2026-04-21 00:35:41.702,92.0,True,False,False,FL0008
6F025,IndiGo,BLR,BOM,BLR → BOM,2026-04-20 23:02:41.701,2026-04-20 23:57:41.701,55.0,False,False,False,FL0009
6F251,Unknown,DEL,BLR,DEL → BLR,2026-04-20 22:56:41.703,2026-04-20 23:37:41.703,41.0,False,False,False,FL0010
AI137,Air India,BOM,DEL,BOM → DEL,2026-04-20 22:49:41.702,2026-04-21 01:17:41.702,148.0,True,False,False,FL0011
6F026,IndiGo,BOM,CCU,BOM → CCU,2026-04-20 22:46:42.000,2026-04-21 03:13:42.000,267.0,True,False,False,FL0012
UK167,Vistara,DEL,MAA,DEL → MAA,2026-04-20 22:45:41.703,2026-04-21 01:46:41.703,181.0,True,False,False,FL0013
UK027,Vistara,BOM,CCU,BOM → CCU,2026-04-20 22:44:41.701,2026-04-21 01:05:41.701,141.0,True,False,False,FL0014
AI069,Unknown,DEL,BOM,DEL → BOM,2026-04-20 22:43:41.702,2026-04-21 02:29:41.702,226.0,True,False,False,FL0015
AI058,Air India,BOM,CCU,BOM → CCU,2026-04-20 22:40:41.701,2026-04-21 00:18:41.701,98.0,True,False,False,FL0016
AI140,Air India,BOM,DEL,BOM → DEL,2026-04-20 22:25:41.702,2026-04-21 02:08:41.702,223.0,True,False,False,FL0017
SJ239,SpiceJet,BOM,CCU,BOM → CCU,2026-04-20 22:24:41.704,2026-04-21 00:10:41.704,106.0,True,False,False,FL0018
6F099,IndiGo,MAA,DEL,MAA → DEL,2026-04-20 22:24:41.702,2026-04-20 22:59:41.702,35.0,False,False,False,FL0019
AI048,Air India,CCU,DEL,CCU → DEL,2026-04-20 22:23:41.701,2026-04-21 02:15:41.701,232.0,True,False,False,FL0020
SJ112,SpiceJet,HYD,DEL,HYD → DEL,2026-04-20 22:20:41.702,2026-04-21 00:40:41.702,140.0,True,False,False,FL0021
6F164,IndiGo,BLR,BOM,BLR → BOM,2026-04-20 22:18:41.703,2026-04-21 00:45:41.703,147.0,True,False,False,FL0022
UK021,Vistara,HYD,MAA,HYD → MAA,2026-04-20 22:00:41.701,2026-04-20 23:50:41.701,110.0,False,False,False,FL0023
SJ172,SpiceJet,CCU,DEL,CCU → DEL,2026-04-20 21:58:41.703,2026-04-21 01:14:41.703,196.0,True,False,False,FL0024
AI060,Air India,DEL,HYD,DEL → HYD,2026-04-20 21:58:41.701,2026-04-20 23:51:41.701,113.0,False,False,False,FL0025
SJ205,SpiceJet,HYD,CCU,HYD → CCU,2026-04-20 21:56:41.703,2026-04-20 23:00:41.703,64.0,False,False,False,FL0026
SJ093,SpiceJet,BLR,BOM,BLR → BOM,2026-04-20 21:55:41.702,2026-04-20 23:01:41.702,66.0,False,False,False,FL0027
6F195,IndiGo,CCU,DEL,CCU → DEL,2026-04-20 21:44:41.703,2026-04-20 22:39:41.703,55.0,False,False,False,FL0028
UK003,Unknown,HYD,DEL,HYD → DEL,2026-04-20 21:41:41.700,2026-04-21 02:19:41.700,278.0,True,False,False,FL0029
UK026,Vistara,HYD,MAA,HYD → MAA,2026-04-20 21:38:41.701,2026-04-20 23:44:41.701,126.0,False,False,False,FL0030
6F174,IndiGo,DEL,HYD,DEL → HYD,2026-04-20 21:36:41.703,2026-04-20 22:16:41.703,40.0,False,False,False,FL0031
UK067,Vistara,BOM,CCU,BOM → CCU,2026-04-20 21:36:41.701,2026-04-21 01:02:41.701,206.0,True,False,False,FL0032
SJ149,SpiceJet,HYD,MAA,HYD → MAA,2026-04-20 21:20:41.702,2026-04-20 23:20:42.000,120.00496666666666,False,False,False,FL0033
6F213,IndiGo,BLR,BOM,BLR → BOM,2026-04-20 21:05:41.703,2026-04-21 00:32:41.703,207.0,True,False,False,FL0034
UK200,Vistara,CCU,DEL,CCU → DEL,2026-04-20 20:54:41.703,2026-04-20 22:45:41.703,111.0,False,False,False,FL0035
SJ214,SpiceJet,BOM,MAA,BOM → MAA,2026-04-20 20:54:41.703,2026-04-20 22:10:41.703,76.0,False,False,False,FL0036
SJ047,SpiceJet,HYD,BOM,HYD → BOM,2026-04-20 20:44:41.701,2026-04-20 21:21:41.701,37.0,False,False,False,FL0037
AI179,Air India,HYD,BOM,HYD → BOM,2026-04-20 20:41:41.703,2026-04-21 01:19:41.703,278.0,True,False,False,FL0038
SJ153,SpiceJet,DEL,CCU,DEL → CCU,2026-04-20 20:37:41.702,2026-04-20 22:00:41.702,83.0,False,False,False,FL0039
6F236,IndiGo,BOM,DEL,BOM → DEL,2026-04-20 20:35:41.704,2026-04-20 23:54:41.704,199.0,False,False,False,FL0040
UK059,Vistara,HYD,MAA,HYD → MAA,2026-04-20 20:33:41.701,2026-04-20 22:10:41.701,97.0,False,False,False,FL0041
SJ001,SpiceJet,BOM,MAA,BOM → MAA,2026-04-20 20:28:41.700,2026-04-21 01:15:41.700,287.0,True,False,False,FL0042
SJ049,SpiceJet,CCU,DEL,CCU → DEL,2026-04-20 20:26:41.701,2026-04-21 00:26:41.701,240.0,True,False,False,FL0043
